../instances/n280 MEA Results:

=== Mutation rate: 0.9 ===
0 41135 1000000
1 43677 1000000
2 44173 1000000
3 44757 1000000
4 45428 1000000
5 45257 1000000
6 46813 1000000
7 48104 1000000
8 48084 1000000
9 49986 1000000




0 41336 1000000
1 44067 1000000
2 44672 1000000
3 44853 1000000
4 45329 1000000
5 45360 1000000
6 46816 1000000
7 48378 1000000
8 48196 1000000
9 50077 1000000




0 41236 1000000
1 43872 1000000
2 44869 1000000
3 45056 1000000
4 45428 1000000
5 45460 1000000
6 47012 1000000
7 48303 1000000
8 48403 1000000
9 50082 1000000




0 41236 1000000
1 43675 1000000
2 44864 1000000
3 45057 1000000
4 45424 1000000
5 45387 1000000
6 46915 1000000
7 48403 1000000
8 48504 1000000
9 49791 1000000




0 41434 1000000
1 43875 1000000
2 44669 1000000
3 45151 1000000
4 45425 1000000
5 45552 1000000
6 46916 1000000
7 48397 1000000
8 48301 1000000
9 50065 1000000




0 40934 1000000
1 43673 1000000
2 44671 1000000
3 44852 1000000
